ano;cargos;funcionarios;grafico
1997;DAS-1;0.0;2
1997;DAS-2;0.0;2
1997;DAS-3;0.0;2
1997;DAS-4;0.0;2
1997;DAS-5;0.0;2
1997;DAS-6;0.0;2
1998;DAS-1;-0.04;2
1998;DAS-2;-0.05;2
1998;DAS-3;0.01;2
1998;DAS-4;0.02;2
1998;DAS-5;0.08;2
1998;DAS-6;0.0;2
1999;DAS-1;-0.17;2
1999;DAS-2;-0.11;2
1999;DAS-3;0.09;2
1999;DAS-4;0.07;2
1999;DAS-5;0.18;2
1999;DAS-6;0.07;2
2000;DAS-1;-0.04;2
2000;DAS-2;-0.08;2
2000;DAS-3;0.15;2
2000;DAS-4;0.1;2
2000;DAS-5;0.07;2
2000;DAS-6;0.07;2
2001;DAS-1;-0.02;2
2001;DAS-2;-0.06;2
2001;DAS-3;0.15;2
2001;DAS-4;0.23;2
2001;DAS-5;0.17;2
2001;DAS-6;0.12;2
2002;DAS-1;-0.01;2
2002;DAS-2;-0.04;2
2002;DAS-3;0.2;2
2002;DAS-4;0.28;2
2002;DAS-5;0.19;2
2002;DAS-6;0.13;2
2003;DAS-1;-0.04;2
2003;DAS-2;-0.22;2
2003;DAS-3;0.24;2
2003;DAS-4;0.39;2
2003;DAS-5;0.37;2
2003;DAS-6;0.34;2
2004;DAS-1;-0.01;2
2004;DAS-2;-0.12;2
2004;DAS-3;0.39;2
2004;DAS-4;0.57;2
2004;DAS-5;0.51;2
2004;DAS-6;0.37;2
2005;DAS-1;0.04;2
2005;DAS-2;-0.08;2
2005;DAS-3;0.43;2
2005;DAS-4;0.65;2
2005;DAS-5;0.62;2
2005;DAS-6;0.37;2
2006;DAS-1;0.0;2
2006;DAS-2;-0.1;2
2006;DAS-3;0.46;2
2006;DAS-4;0.71;2
2006;DAS-5;0.67;2
2006;DAS-6;0.42;2
2007;DAS-1;0.0;2
2007;DAS-2;-0.07;2
2007;DAS-3;0.5;2
2007;DAS-4;0.74;2
2007;DAS-5;0.69;2
2007;DAS-6;0.48;2
2008;DAS-1;0.02;2
2008;DAS-2;-0.05;2
2008;DAS-3;0.54;2
2008;DAS-4;0.79;2
2008;DAS-5;0.73;2
2008;DAS-6;0.51;2
2009;DAS-1;0.03;2
2009;DAS-2;-0.01;2
2009;DAS-3;0.61;2
2009;DAS-4;0.87;2
2009;DAS-5;0.79;2
2009;DAS-6;0.56;2
2010;DAS-1;0.03;2
2010;DAS-2;0.02;2
2010;DAS-3;0.71;2
2010;DAS-4;0.99;2
2010;DAS-5;0.85;2
2010;DAS-6;0.54;2
2011;DAS-1;0.05;2
2011;DAS-2;0.02;2
2011;DAS-3;0.69;2
2011;DAS-4;1.02;2
2011;DAS-5;0.89;2
2011;DAS-6;0.59;2
2012;DAS-1;0.07;2
2012;DAS-2;0.03;2
2012;DAS-3;0.72;2
2012;DAS-4;1.06;2
2012;DAS-5;0.87;2
2012;DAS-6;0.62;2
2013;DAS-1;0.06;2
2013;DAS-2;0.04;2
2013;DAS-3;0.77;2
2013;DAS-4;1.11;2
2013;DAS-5;0.93;2
2013;DAS-6;0.6;2
2014;DAS-1;0.07;2
2014;DAS-2;0.06;2
2014;DAS-3;0.79;2
2014;DAS-4;1.15;2
2014;DAS-5;0.95;2
2014;DAS-6;0.55;2
2015;DAS-1;0.03;2
2015;DAS-2;0.0;2
2015;DAS-3;0.68;2
2015;DAS-4;1.04;2
2015;DAS-5;0.85;2
2015;DAS-6;0.54;2
2016;DAS-1;-0.2;2
2016;DAS-2;-0.23;2
2016;DAS-3;0.31;2
2016;DAS-4;0.62;2
2016;DAS-5;0.75;2
2016;DAS-6;0.46;2
2017;DAS-1;-0.62;2
2017;DAS-2;-0.54;2
2017;DAS-3;-0.03;2
2017;DAS-4;0.44;2
2017;DAS-5;0.86;2
2017;DAS-6;0.51;2
2018;DAS-1;-0.62;2
2018;DAS-2;-0.54;2
2018;DAS-3;-0.03;2
2018;DAS-4;0.44;2
2018;DAS-5;0.87;2
2018;DAS-6;0.49;2
